Item Name,Vendor Item Code,Packaging Information,Unit of Measure,Unit/Box,Item Color,Item Size,PCs in a Box,SF by PC/SHEET,SF By Box,Cost,Group,Finish
"VSLCAPSX End Cap Trim","VSLCAPSX","5.00 PC/CTN",PC,5.00,"Sonoma Oak, White Oak, Vintage Pine, Ashwood, Driftwood, Exotic Teak, Black Walnut, Rustic Java, Rosewood",1 3/8X94,5,"",,71.57,"ELIXEN","SuperGuardX"
"VRDSNSX Overlap Stair Nose Trim","VRDSNSX","5.00 PC/CTN",PC,5.00,"Sonoma Oak, White Oak, Vintage Pine, Ashwood, Driftwood, Exotic Teak, Black Walnut, Rustic Java, Rosewood",2 1/2X94,5,"",,86.10,"ELIXEN","SuperGuardX"
"EXTSNSX Overlap Stair Nose Trim","EXTSNSX","5.00 PC/CTN",PC,5.00,"Sonoma Oak, White Oak, Vintage Pine, Ashwood, Driftwood, Exotic Teak, Black Walnut, Rustic Java, Rosewood",2X94,5,"",,97.94,"ELIXEN","SuperGuardX"
"SLIMTSX 4-IN-1 Trim","SLIMTSX","5.00 PC/CTN",PC,5.00,"Sonoma Oak, White Oak, Vintage Pine, Ashwood, Driftwood, Exotic Teak, Black Walnut, Rustic Java, Rosewood",2X94,5,"",,71.57,"ELIXEN","SuperGuardX"
"VQRNDSX End Mold Trim","VQRNDSX","10.00 PC/CTN",PC,10.00,"Sonoma Oak, White Oak, Vintage Pine, Ashwood, Driftwood, Exotic Teak, Black Walnut, Rustic Java, Rosewood",3/4X94,10,"",,22.60,"ELIXEN","SuperGuardX"
"748RC12ML47 Rigid Click Luxury Vinyl Tile","748RC12ML47","28.80 SF/CTN",SF,28.80,"Cottage, Heritage, Cobblestone, Scenic, Palisade, Craftsman",7 1/4X48,,"",28.80,2.57,"HALSTATT",""
"748RC20ML47 Rigid Click Luxury Vinyl Tile","748RC20ML47","28.80 SF/CTN",SF,28.80,"Cottage, Heritage, Cobblestone, Scenic, Palisade, Craftsman",7 1/4X48,,"",28.80,1.77,"HALSTATT",""
"VRDSNST Overlap Stair Nose Trim","VRDSNST","5.00 PC/CTN",PC,5.00,"Cottage, Heritage, Cobblestone, Scenic, Palisade, Craftsman",1 3/4X94,5,"",,86.10,"HALSTATT","Superguard"
"VSLCAPST End Cap Trim","VSLCAPST","5.00 PC/CTN",PC,5.00,"Cottage, Heritage, Cobblestone, Scenic, Palisade, Craftsman",1 3/8X94,5,"",,71.57,"HALSTATT","SuperGuard"
"344VSCAPST Stair Cap Trim","344VSCAPST","6.00 PC/CTN",PC,6.00,"Cottage, Heritage, Cobblestone, Scenic, Palisade, Craftsman",2 3/4X44,6,"",,73.88,"HALSTATT","Superguard"
"EXTSNST Overlap Stair Nose Trim","EXTSNST","5.00 PC/CTN",PC,5.00,"Cottage, Heritage, Cobblestone, Scenic, Palisade, Craftsman",2X94,5,"",,37.76,"HALSTATT","Superguard"
"SLIMTP29 4-IN-1 Trim","SLIMTP29","5.00 PC/CTN",PC,5.00,"Cottage, Heritage, Cobblestone, Scenic, Palisade, Craftsman",2X94,5,"",,36.71,"HALSTATT","Superguard"
"VQRNDST End Mold Trim","VQRNDST","10.00 PC/CTN",PC,10.00,"Cottage, Heritage, Cobblestone, Scenic, Palisade, Craftsman",3/4X94,10,"",,22.60,"HALSTATT","Superguard"
"RNDSTRDST Round Stair Tread Trim","RNDSTRDST","2.00 PC/CTN",PC,2.00,"Cottage, Heritage, Cobblestone, Scenic, Palisade, Craftsman",12 1/5X50,2,"",,64.25,"HALSTATT","SuperGuard"
"748GD8ML3M Glue Down Luxury Vinyl Tile","748GD8ML3M","40.64 SF/CTN",SF,40.64,"Townhouse, Colonial, Ranch, French Country, Rustic, Tudor, Bungalow, Farmhouse, Craftsman, Victorian, Cottage",7 1/2X48 1/2,,"",40.64,1.80,"HARPER'S PLACE",""
"VSLCAPST End Cap Trim","VSLCAPST","5.00 PC/CTN",PC,5.00,"Townhouse, Colonial, Ranch, French Country, Rustic, Tudor, Bungalow, Farmhouse, Craftsman, Victorian, Cottage",1 3/8X94,5,"",,71.57,"HARPER'S PLACE","SuperGuard"
"VRDSNST Overlap Stair Nose Trim","VRDSNST","5.00 PC/CTN",PC,5.00,"Townhouse, Colonial, Ranch, French Country, Rustic, Tudor, Bungalow, Farmhouse, Craftsman, Victorian, Cottage",2 1/2X94,5,"",,86.10,"HARPER'S PLACE","SuperGuard"
"EXTSNST Overlap Stair Nose Trim","EXTSNST","5.00 PC/CTN",PC,5.00,"Townhouse, Colonial, Ranch, French Country, Rustic, Tudor, Bungalow, Farmhouse, Craftsman, Victorian, Cottage",2X94,5,"",,97.94,"HARPER'S PLACE","SuperGuard"
"SLIMTST 4-IN-1 Trim","SLIMTST","5.00 PC/CTN",PC,5.00,"Townhouse, Colonial, Ranch, French Country, Rustic, Tudor, Bungalow, Farmhouse, Craftsman, Victorian, Cottage",2X94,5,"",,71.57,"HARPER'S PLACE","SuperGuard"
"VQRNDST End Mold Trim","VQRNDST","10.00 PC/CTN",PC,10.00,"Townhouse, Colonial, Ranch, French Country, Rustic, Tudor, Bungalow, Farmhouse, Craftsman, Victorian, Cottage",3/4X94,10,"",,22.60,"HARPER'S PLACE","SuperGuard"
"RNDSTRDST Round Stair Tread Trim","RNDSTRDST","2.00 PC/CTN",PC,2.00,"Townhouse, Colonial, Ranch, French Country, Rustic, Tudor, Bungalow, Farmhouse, Craftsman, Victorian, Cottage",12 1/5X50,2,"",,64.25,"HARPER'S PLACE","SuperGuard"
"752CLVT1P Flexible Click Luxury Vinyl Tile","752CLVT1P","26.91 SF/CTN",SF,26.91,"",7 1/2X52,,"",26.91,2.40,"LANGTON",""
S36C9 Cove Base Matte,S36C9MT,22.00 PC/CTN,PC,1,,"6X12",22.00,,,14.32,Delegate,Matte,1
640GGT Gutter Grid Tile Textured,XTP640GGT,3.00 PC/CTN,PC,1,,"6X40",3.00,,,152.74,Delegate,Textured,1
640GT Gutter Tile Textured,XTP640GT,2.00 PC/CTN,PC,1,,"6X40",2.00,,,210.88,Delegate,Textured,1
1220C6 Coping (6cm Return) Textured,XTP1220C6TX,2.00 PC/CTN,PC,1,,"12X20",2.00,,,73.13,Delegate,Textured,1
Gradino Step Tread Matte,16402CMST1P,1.00 PC/CTN,PC,1,,"16X40",1.00,,,275.56,Delegate,Matte,1
2020S Step Nose Textured,XTP2020STX,2.00 PC/CTN,PC,1,,"20X20",2.00,,,75.73,Delegate,Textured,1
2020SLHR Left Hand Return Step Nose Textured,XTP2020SLHR,2.00 PC/CTN,PC,1,,"20X20",2.00,,,99.23,Delegate,Textured,1
2020SRHR Right Hand Return Step Nose Textured,XTP2020SRHR,2.00 PC/CTN,PC,1,,"20X20",2.00,,,99.23,Delegate,Textured,1
2040SLHR Left Hand Return Step Nose Textured,XTP2040SLHR,1.00 PC/CTN,PC,1,,"20X40",1.00,,,165.42,Delegate,Textured,1
